# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    5.250000000    0.786902646    0.786902622    0.002096635
    5.260000000    0.783862606    0.783862590    0.002104187
    5.270000000    0.776170909    0.776170905    0.002111768
    5.280000000    0.764525502    0.764525507    0.002119381
    5.290000000    0.751619492    0.751619502    0.002127024
    5.300000000    0.738323927    0.738323942    0.002134697
    5.310000000    0.721186990    0.721187014    0.002142402
    5.320000000    0.696023780    0.696023815    0.002150138
    5.330000000    0.663829243    0.663829282    0.002157905
    5.340000000    0.631390015    0.631390049    0.002165704
    5.350000000    0.606441059    0.606441080    0.002173534
    5.360000000    0.593166591    0.593166598    0.002181397
    5.370000000    0.590748317    0.590748315    0.002189292
    5.380000000    0.594217139    0.594217135    0.002197219
    5.390000000    0.597205921    0.597205923    0.002205179
    5.400000000    0.595411763    0.595411773    0.002213171
    5.410000000    0.587822881    0.587822899    0.002221197
    5.420000000    0.575773113    0.575773134    0.002229256
    5.430000000    0.562006350    0.562006368    0.002237348
    5.440000000    0.549510115    0.549510127    0.002245474
    5.450000000    0.540615667    0.540615670    0.002253634
    5.460000000    0.536916809    0.536916803    0.002261828
    5.470000000    0.538475725    0.538475714    0.002270056
    5.480000000    0.542973758    0.542973747    0.002278319
    5.490000000    0.547518832    0.547518825    0.002286617
    5.500000000    0.552281787    0.552281782    0.002294950
    5.510000000    0.561142346    0.561142336    0.002303318
    5.520000000    0.577966942    0.577966922    0.002311721
    5.530000000    0.602565158    0.602565131    0.002320160
    5.540000000    0.629608355    0.629608329    0.002328635
    5.550000000    0.651279763    0.651279746    0.002337147
